"id","code","name","aliquot","tax_id:id"
ncm_66,"0202.20.90","Outras","0",tax_4
ncm_67,"0202.30.00","Desossadas","0",tax_4
ncm_70,"0203.11.00","Carcaças e meias-carcaças","0",tax_4
ncm_71,"0203.12.00","Pernas, pás e respectivos pedaços, não desossados","0",tax_4
ncm_72,"0203.19.00","Outras","0",tax_4
ncm_74,"0203.21.00","Carcaças e meias-carcaças","0",tax_4
ncm_75,"0203.22.00","Pernas, pás e respectivos pedaços, não desossados","0",tax_4
ncm_76,"0203.29.00","Outras","0",tax_4
ncm_78,"0204.10.00","Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas","0",tax_4
ncm_80,"0204.21.00","Carcaças e meias-carcaças","0",tax_4
ncm_81,"0204.22.00","Outras peças não desossadas","0",tax_4
ncm_82,"0204.23.00","Desossadas","0",tax_4
ncm_83,"0204.30.00","Carcaças e meias-carcaças de cordeiro, congeladas","0",tax_4
ncm_85,"0204.41.00","Carcaças e meias-carcaças","0",tax_4
ncm_86,"0204.42.00","Outras peças não desossadas","0",tax_4
ncm_87,"0204.43.00","Desossadas","0",tax_4
ncm_88,"0204.50.00","Carnes de animais da espécie caprina","0",tax_4
ncm_89,"0205.00.00","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas","0",tax_4
ncm_91,"0206.10.00","Da espécie bovina, frescas ou refrigeradas","0",tax_4
ncm_93,"0206.21.00","Línguas","0",tax_4
ncm_94,"0206.22.00","Fígados","0",tax_4
ncm_96,"0206.29.10","Rabo","0",tax_4
ncm_97,"0206.29.90","Outros","0",tax_4
ncm_98,"0206.30.00","Da espécie suína, frescas ou refrigeradas","0",tax_4
ncm_100,"0206.41.00","Fígados","0",tax_4
ncm_101,"0206.49.00","Outras","0",tax_4
ncm_102,"0206.80.00","Outras, frescas ou refrigeradas","0",tax_4
ncm_103,"0206.90.00","Outras, congeladas","0",tax_4
ncm_106,"0207.11.00","Não cortadas em pedaços, frescas ou refrigeradas","0",tax_4
ncm_107,"0207.12.00","Não cortadas em pedaços, congeladas","0",tax_4
ncm_108,"0207.13.00","Pedaços e miudezas, frescos ou refrigerados","0",tax_4
ncm_109,"0207.14.00","Pedaços e miudezas, congelados","0",tax_4
ncm_111,"0207.24.00","Não cortadas em pedaços, frescas ou refrigeradas","0",tax_4
ncm_112,"0207.25.00","Não cortadas em pedaços, congeladas","0",tax_4
ncm_113,"0207.26.00","Pedaços e miudezas, frescos ou refrigerados","0",tax_4
ncm_114,"0207.27.00","Pedaços e miudezas, congelados","0",tax_4
ncm_116,"0207.32.00","Não cortadas em pedaços, frescas ou refrigeradas","0",tax_4
ncm_117,"0207.33.00","Não cortadas em pedaços, congeladas","0",tax_4
ncm_118,"0207.34.00","Fígados gordos (foies gras), frescos ou refrigerados","0",tax_4
ncm_119,"0207.35.00","Outras, frescas ou refrigeradas","0",tax_4
ncm_120,"0207.36.00","Outras, congeladas","0",tax_4
ncm_122,"0208.10.00","De coelhos ou de lebres","0",tax_4
ncm_123,"0208.30.00","De primatas","0",tax_4
ncm_124,"0208.40.00","De baleias, golfinhos e marsuínos (mamíferos da ordem dos cetáceos); de peixes-boi e dugongos (mamíferos da ordem dos sirênios)","0",tax_4
ncm_125,"0208.50.00","De répteis (incluídas as serpentes e as tartarugas marinhas)","0",tax_4
ncm_126,"0208.90.00","Outras","0",tax_4
ncm_129,"0209.00.11","Fresco, refrigerado ou congelado","0",tax_4
ncm_130,"0209.00.19","Outros","0",tax_4
ncm_132,"0209.00.21","Fresca, refrigerada ou congelada","0",tax_4
ncm_133,"0209.00.29","Outras","0",tax_4
ncm_134,"0209.00.90","Outros","0",tax_4
ncm_137,"0210.11.00","Pernas, pás e respectivos pedaços, não desossados","0",tax_4
ncm_138,"0210.12.00","Toucinho entremeado de carne, e seus pedaços","0",tax_4
ncm_139,"0210.19.00","Outras","0",tax_4
ncm_140,"0210.20.00","Carnes da espécie bovina","0",tax_4
ncm_142,"0210.91.00","De primatas","0",tax_4
ncm_143,"0210.92.00","De baleias, golfinhos e marsuínos (mamíferos da ordem dos cetáceos); de peixes-boi e dugongos (mamíferos da ordem dos sirênios)","0",tax_4
ncm_144,"0210.93.00","De répteis (incluídas as serpentes e as tartarugas marinhas)","0",tax_4
ncm_145,"0210.99.00","Outras","0",tax_4
ncm_148,"0301.10.10","Aruanã (Osteoglossum bicirrhosum)","",tax_4
ncm_149,"0301.10.90","Outros","",tax_4
ncm_152,"0301.91.10","Para reprodução","",tax_4
ncm_153,"0301.91.90","Outras","",tax_4
ncm_155,"0301.92.10","Para reprodução","",tax_4
ncm_156,"0301.92.90","Outras","",tax_4
ncm_158,"0301.93.10","Para reprodução","",tax_4
