"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_79843110","l10n_br_base.br_ms","79843110","Potrerito","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79843105","l10n_br_base.br_ms","79843105","S 9","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79843132","l10n_br_base.br_ms","79843132","S 18","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79842143","l10n_br_base.br_ms","79842143","S 13","Rua","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79843174","l10n_br_base.br_ms","79843174","J","Rua","Canaã II","l10n_br_base.city_5130","base.br"
"cep_79843141","l10n_br_base.br_ms","79843141","S 20","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79843210","l10n_br_base.br_ms","79843210","Aimorés","Rua","Jardim Jóquei Clube","l10n_br_base.city_5130","base.br"
"cep_79843080","l10n_br_base.br_ms","79843080","S 8","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79806080","l10n_br_base.br_ms","79806080","Duque de Caxias","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79843050","l10n_br_base.br_ms","79843050","Otávio Catão","Alameda","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79842142","l10n_br_base.br_ms","79842142","S 15","Rua","Parque das Nações II","l10n_br_base.city_5130","base.br"
"cep_79843252","l10n_br_base.br_ms","79843252","S 5","Rua","Vila São Braz","l10n_br_base.city_5130","base.br"
"cep_79842150","l10n_br_base.br_ms","79842150","S 42","Rua","Parque das Nações II","l10n_br_base.city_5130","base.br"
"cep_79842160","l10n_br_base.br_ms","79842160","S 44","Rua","Parque das Nações II","l10n_br_base.city_5130","base.br"
"cep_79842170","l10n_br_base.br_ms","79842170","Fábio","Alameda","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79842171","l10n_br_base.br_ms","79842171","S 19","Rua","Parque das Nações II","l10n_br_base.city_5130","base.br"
"cep_79843000","l10n_br_base.br_ms","79843000","BR-163","Rodovia","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79843020","l10n_br_base.br_ms","79843020","Leste","Alameda","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79842141","l10n_br_base.br_ms","79842141","S 17","Rua","Parque das Nações II","l10n_br_base.city_5130","base.br"
"cep_79806010","l10n_br_base.br_ms","79806010","Camilo Ermelindo da Silva","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79806000","l10n_br_base.br_ms","79806000","Hayel Bon Faker","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79840361","l10n_br_base.br_ms","79840361","O","Rua","Conjunto Habitacional Izidro Pedroso","l10n_br_base.city_5130","base.br"
"cep_79806060","l10n_br_base.br_ms","79806060","dos Missionários","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79806050","l10n_br_base.br_ms","79806050","Ediberto Celestino de Oliveira","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79806040","l10n_br_base.br_ms","79806040","Mato Grosso","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79843100","l10n_br_base.br_ms","79843100","S 12","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79804010","l10n_br_base.br_ms","79804010","Firmino Vieira de Matos","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803060","l10n_br_base.br_ms","79803060","General Osório","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79804020","l10n_br_base.br_ms","79804020","João Rosa Góes","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79805031","l10n_br_base.br_ms","79805031","Ciro Melo","Rua","Jardim Central","l10n_br_base.city_5130","base.br"
"cep_79805030","l10n_br_base.br_ms","79805030","Ciro Melo","Rua","Jardim Central","l10n_br_base.city_5130","base.br"
"cep_79805021","l10n_br_base.br_ms","79805021","Oliveira Marques","Rua","Jardim Central","l10n_br_base.city_5130","base.br"
"cep_79805011","l10n_br_base.br_ms","79805011","Major Capile","Rua","Jardim Central","l10n_br_base.city_5130","base.br"
"cep_79321470","l10n_br_base.br_ms","79321470","T. Mendes","Rua","Guaicurus","l10n_br_base.city_5124","base.br"
"cep_79806030","l10n_br_base.br_ms","79806030","Toshinobo Katayama","Rua","Jardim Caramuru","l10n_br_base.city_5130","base.br"
"cep_79802031","l10n_br_base.br_ms","79802031","Cuiabá","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79843190","l10n_br_base.br_ms","79843190","Alfenas","Rua","Jardim Jóquei Clube","l10n_br_base.city_5130","base.br"
"cep_79843125","l10n_br_base.br_ms","79843125","Sul","Alameda","Jardim Alhambra","l10n_br_base.city_5130","base.br"
"cep_79804030","l10n_br_base.br_ms","79804030","Presidente Vargas","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79802010","l10n_br_base.br_ms","79802010","Onofre Pereira de Matos","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79802011","l10n_br_base.br_ms","79802011","Onofre Pereira de Matos","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79802020","l10n_br_base.br_ms","79802020","Antônio Emílio de Figueiredo","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79843250","l10n_br_base.br_ms","79843250","Ramão Osório","Rua","Chácara Califórnia","l10n_br_base.city_5130","base.br"
"cep_79802030","l10n_br_base.br_ms","79802030","Cuiabá","Rua","Centro","l10n_br_base.city_5130","base.br"
"cep_79804000","l10n_br_base.br_ms","79804000","João Cândido da Câmara","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803010","l10n_br_base.br_ms","79803010","Melvin Jones","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803020","l10n_br_base.br_ms","79803020","Albino Torraca","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803030","l10n_br_base.br_ms","79803030","Quintino Bocaiúva","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803040","l10n_br_base.br_ms","79803040","Benjamin Constant","Rua","Jardim América","l10n_br_base.city_5130","base.br"
"cep_79803050","l10n_br_base.br_ms","79803050","Floriano Peixoto","Rua","Jardim América","l10n_br_base.city_5130","base.br"
