"id","code","description","parent_id:id","country_id:id","state_id:id","city_id:id","internal_type"
"fiscal_operation_service_19","01.04.02","elaboração de jogo eletrônico","fiscal_operation_service_17","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_20","01.05   ","Licenciamento ou cessão de direito de uso de programas de computação.","fiscal_operation_service_1","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_21","01.05.01","licenciamento de uso de programa de computação","fiscal_operation_service_20","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_22","01.05.02","cessão de direito de uso de programa de computação","fiscal_operation_service_20","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_23","01.06   ","Assessoria e consultoria em informática.","fiscal_operation_service_1","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_24","01.06.01","assessoria ou consultoria em informática","fiscal_operation_service_23","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_25","01.07   ","Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.","fiscal_operation_service_1","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_26","01.07.01","suporte técnico em informática","fiscal_operation_service_25","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_27","01.07.02","instalação e/ou configuração de programa de computação e/ou banco de dados","fiscal_operation_service_25","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_28","01.07.03","manutenção de programa de computação e/ou banco de dados","fiscal_operation_service_25","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_29","01.08   ","Planejamento, confecção, manutenção e atualização de páginas eletrônicas.","fiscal_operation_service_1","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_30","01.08.01","projeto de páginas eletrônicas","fiscal_operation_service_29","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_31","01.08.02","confecção ou desenvolvimento de páginas eletrônicas","fiscal_operation_service_29","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_32","01.08.03","manutenção e/ou atualização de páginas eletrônicas","fiscal_operation_service_29","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_33","01.08.04","confecção de páginas eletrônicas","fiscal_operation_service_29","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_34","02      ","Serviços de pesquisas e desenvolvimento de qualquer natureza.";;"base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_35","02.01   ","Serviços de pesquisas e desenvolvimento de qualquer natureza.","fiscal_operation_service_34","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_36","02.01.01","pesquisa e desenvolvimento (P&D)","fiscal_operation_service_35","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_37","02.01.02","pesquisa de mercado ou de opinião pública","fiscal_operation_service_35","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_38","03      ","Serviços prestados mediante locação, cessão de direito de uso e congêneres.";;"base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_39","03.02   ","Cessão de direito de uso de marcas e de sinais de propaganda.","fiscal_operation_service_38","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_40","03.02.01","cessão de direito de uso de sinais de propaganda","fiscal_operation_service_39","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_41","03.02.02","cessão de direito de uso de marca","fiscal_operation_service_39","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_42","03.02.03","serviços prestados mediante locação, cessão de direito de uso e congêneres, não especificados em outros códigos","fiscal_operation_service_39","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_43","03.02.04","serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, exclusivamente vinculados a filme brasileiro, natural ou de enredo","fiscal_operation_service_39","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
