id,name,bank_id/id,payment_method_id/id,conf_bank_start_pos,conf_bank_end_pos,conf_batch_start_pos,conf_batch_end_pos,conf_record_type_start_pos,conf_record_type_end_pos,conf_segment_start_pos,conf_segment_end_pos,conf_payment_way_start_pos,conf_payment_way_end_pos,conf_detail_start_pos,conf_detail_end_pos,record_type_file_header_id,record_type_file_trailer_id,record_type_batch_header_id,record_type_batch_trailer_id,record_type_detail_id,unique_seq_per_segment
cnab_sicredi_240,Sicredi 240,l10n_br_base.res_bank_748,l10n_br_account_payment_order.payment_mode_type_cnab240_out,1,3,4,7,8,8,14,14,12,13,9,13,0,9,1,5,3,False
cnab_sicredi_240_cobranca,Sicredi 240 Cobrança,l10n_br_base.res_bank_748,l10n_br_account_payment_order.payment_mode_type_cnab240,1,3,4,7,8,8,14,14,14,14,9,13,0,9,1,5,3,False
