id,name,meaning,start_pos,end_pos,assumed_comma,type,default_value,cnab_line_id/id,notes,sending_dynamic_content,content_source_field,return_dynamic_content,content_dest_field,cnab_group_id/id
cnab_sicredi_240_pagamentos_segmento_a_135_154,Nosso Número,Nº do Docum. Atribuído pelo Banco,135,154,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,*G043,,,,own_number,""
cnab_sicredi_240_pagamentos_segmento_a_155_162,Data Real,Data Real da Efetivação Pgto,155,162,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,P003,,,"datetime.strptime(content,""%d%m%Y"") if content and content.strip() and content != ""00000000"" else False",real_payment_date,""
cnab_sicredi_240_pagamentos_segmento_a_163_177,Valor Real,Valor Real da Efetivação do Pgto,163,177,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,P004,,,,payment_value,""
cnab_sicredi_240_pagamentos_segmento_a_178_217,Informação 2,Outras Informações – Vide formatação em G031 para identificação de Deposito Judicial e Pgto.Salários de servidores pelo SIAPE,178,217,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,*G031,,,,additional_info,""
cnab_sicredi_240_pagamentos_segmento_a_218_219,CNAB,Uso Exclusivo FEBRABAN/CNAB,218,219,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,G004,,,,,""
cnab_sicredi_240_pagamentos_segmento_a_220_224,Código Finalidade TED,Código finalidade da TED,220,224,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,*P011,,ted_finality_code,,company_title_identification,""
cnab_sicredi_240_pagamentos_segmento_a_225_226,Código Finalidade Complementar,Complemento de finalidade pagto.,225,226,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,P013,,communication,,ted_purpose,""
cnab_sicredi_240_pagamentos_segmento_a_227_229,CNAB,Uso Exclusivo FEBRABAN/CNAB,227,229,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,G004,,,,,""
cnab_sicredi_240_pagamentos_segmento_a_230_230,Aviso,Aviso ao Favorecido,230,230,0,num,0,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,*P006,,,,partner_notification,""
cnab_sicredi_240_pagamentos_segmento_a_231_240,Ocorrências,Códigos das Ocorrências p/ Retorno,231,240,0,alpha,0,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_a,*G059,,,,,""
cnab_sicredi_240_pagamentos_segmento_b_1_3,Banco,Código do Banco na Compensação,1,3,0,num,748,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,G001,,,,,""
cnab_sicredi_240_pagamentos_segmento_b_4_7,Lote,Lote de Serviço,4,7,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G002,seq_batch,,,,""
cnab_sicredi_240_pagamentos_segmento_b_8_8,Registro,Tipo do Registro,8,8,0,num,3,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G003,,,,,""
cnab_sicredi_240_pagamentos_segmento_b_9_13,Nº do Registro,Nº Sequencial do Registro no Lote,9,13,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G038,seq_record_detail,,,,""
cnab_sicredi_240_pagamentos_segmento_b_14_14,Segmento,Código de Segmento do Reg. Detalhe,14,14,0,alpha,B,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G039,segment_code,,,,""
cnab_sicredi_240_pagamentos_segmento_b_15_17,Identificação do favorecido,Forma de Iniciação,15,17,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G100,,,,,""
cnab_sicredi_240_pagamentos_segmento_b_18_18,Tipo,Tipo de Inscrição do Favorecido,18,18,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G005,"""2"" if content else ""1""",partner_id.is_company,,,""
cnab_sicredi_240_pagamentos_segmento_b_19_32,Número,Nº de Inscrição do Favorecido,19,32,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G006,,partner_id.cnpj_cpf,,,""
cnab_sicredi_240_pagamentos_segmento_b_33_67,Informação 10,Informação 10,33,67,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G101,,partner_id.street_name,,,""
cnab_sicredi_240_pagamentos_segmento_b_68_127,Informação 11,Informação 11,68,127,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G101,,partner_id.street_number,,,""
cnab_sicredi_240_pagamentos_segmento_b_128_226,Informação 12,Informação 12,128,226,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,*G101,,partner_id.street2,,,""
cnab_sicredi_240_pagamentos_segmento_b_227_232,Código UG Centralizadora,Uso Exclusivo para o SIAPE,227,232,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,P012,,,,,""
cnab_sicredi_240_pagamentos_segmento_b_233_240,CNAB,Uso Exclusivo FEBRABAN / CNAB,233,240,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_segmento_b,G0046,,,,,""
cnab_sicredi_240_pagamentos_trailer_1_3,Banco,Código do Banco na Compensação,1,3,0,num,748,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,G001,,company_partner_bank_id.bank_id.code_bc,,,""
cnab_sicredi_240_pagamentos_trailer_4_7,Lote,Lote de Serviço,4,7,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,*G002,seq_batch,,,,""
cnab_sicredi_240_pagamentos_trailer_8_8,Registro,Tipo de Registro,8,8,0,num,5,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,*G003,,,,,""
cnab_sicredi_240_pagamentos_trailer_9_17,CNAB,Uso Exclusivo FEBRABAN/CNAB,9,17,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,G004,,,,,""
cnab_sicredi_240_pagamentos_trailer_18_23,Qtde de Registros,Quantidade de Registros do Lote,18,23,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,*G057,qty_records,,,,""
cnab_sicredi_240_pagamentos_trailer_24_41,Valor,Somatória dos Valores,24,41,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,P007,"sum(  int(line.sorted_values()[""120_134_valor_do_pagto""]) for line in filter(    lambda l: l.sorted_values().get(""15_17_tipo_de_movimento"", """") in (""000"",""001"",""002"",""003""), batch_detail_lines  ))",,,,""
cnab_sicredi_240_pagamentos_trailer_42_59,Qtde de Moeda,Somatória de Quantidade de Moedas,42,59,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,G058,,,,,""
cnab_sicredi_240_pagamentos_trailer_60_65,Número Aviso Débito,Número Aviso de Débito,60,65,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,G066,,,,,""
cnab_sicredi_240_pagamentos_trailer_66_230,CNAB,Uso Exclusivo FEBRABAN/CNAB,66,230,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,G004,,,,,""
cnab_sicredi_240_pagamentos_trailer_231_240,Ocorrências,Códigos das Ocorrências para Retorno,231,240,0,alpha,0,l10n_br_cnab_structure.cnab_sicredi_240_pagamentos_trailer,*G059,,,,,""
cnab_sicredi_240_boleto_header_1_3,Banco,Código do Banco na Compensação,1,3,0,num,748,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G001,,company_partner_bank_id.bank_id.code_bc,,,""
cnab_sicredi_240_boleto_header_4_7,Lote,Lote de Serviço,4,7,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G002,seq_batch,,,,""
cnab_sicredi_240_boleto_header_8_8,Registro,Tipo de Registro,8,8,0,num,1,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G003,,,,,""
cnab_sicredi_240_boleto_header_9_9,Operação,Tipo da Operação,9,9,0,alpha,C,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G028,,,,,""
cnab_sicredi_240_boleto_header_10_11,Serviço,Tipo do Serviço,10,11,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G025,payment_type_code,,,,""
cnab_sicredi_240_boleto_header_12_13,Forma Lançamento,Forma de Lançamento,12,13,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G029,payment_way_code,,,,""
cnab_sicredi_240_boleto_header_14_16,Layout do Lote,Nº da Versão do Layout do Lote,14,16,0,num,40,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G030,,,,,""
cnab_sicredi_240_boleto_header_17_17,CNAB,Uso Exclusivo da FEBRABAN/CNAB,17,17,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,G004,,,,,""
cnab_sicredi_240_boleto_header_18_18,Tipo,Tipo de Inscrição da Empresa,18,18,0,num,2,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G005,,,,,""
cnab_sicredi_240_boleto_header_19_32,Número,Número de Inscrição da Empresa,19,32,0,num,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G006,,company_id.cnpj_cpf,,,""
cnab_sicredi_240_boleto_header_33_52,Convênio,Código do Convênio no Banco,33,52,0,alpha,,l10n_br_cnab_structure.cnab_sicredi_240_boleto_header,*G007,,,,,""
