"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_70305920,"l10n_br_base.br_df","70305920","SCS Quadra 5 Bloco C Lote 22","","Asa Sul","l10n_br_base.city_5564"
cep_70443900,"l10n_br_base.br_df","70443900","SES 813 Lote 51","","Asa Sul","l10n_br_base.city_5564"
cep_70322913,"l10n_br_base.br_df","70322913","SHS Quadra 5 Bloco G","","Asa Sul","l10n_br_base.city_5564"
cep_70300905,"l10n_br_base.br_df","70300905","SGAS 904 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70411900,"l10n_br_base.br_df","70411900","SES 805 Lote 17","","Asa Sul","l10n_br_base.city_5564"
cep_70070940,"l10n_br_base.br_df","70070940","SAUS Quadra 6 Blocos C,E,F e H","","Asa Sul","l10n_br_base.city_5564"
cep_70070930,"l10n_br_base.br_df","70070930","SBS Quadra 4 Lote 03/04","","Asa Sul","l10n_br_base.city_5564"
cep_70398900,"l10n_br_base.br_df","70398900","SCS Quadra 1 Bloco K Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70395900,"l10n_br_base.br_df","70395900","SCS Quadra 1 Bloco C Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70390900,"l10n_br_base.br_df","70390900","SHLS Conjunto F Lote 10","","Asa Sul","l10n_br_base.city_5564"
cep_70309900,"l10n_br_base.br_df","70309900","SCS Quadra 1 Bloco G Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70340909,"l10n_br_base.br_df","70340909","SRTVS Bloco M Lote 12","","Asa Sul","l10n_br_base.city_5564"
cep_70070905,"l10n_br_base.br_df","70070905","SAUS Quadra 1 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70070921,"l10n_br_base.br_df","70070921","SAUS Quadra 5 Bloco I Lotes 5/3a","","Asa Sul","l10n_br_base.city_5564"
cep_70070920,"l10n_br_base.br_df","70070920","SAUS Quadra 5 Bloco J Lote 3","","Asa Sul","l10n_br_base.city_5564"
cep_70070908,"l10n_br_base.br_df","70070908","SAUS Quadra 4 Bloco B Lote 7A","","Asa Sul","l10n_br_base.city_5564"
cep_70304915,"l10n_br_base.br_df","70304915","SCS Quadra 4 Bloco A Lote 256","","Asa Sul","l10n_br_base.city_5564"
cep_70304905,"l10n_br_base.br_df","70304905","SCS Quadra 4 Bloco A Lote 141/153","","Asa Sul","l10n_br_base.city_5564"
cep_70302903,"l10n_br_base.br_df","70302903","SCS Quadra 2 Bloco E","","Asa Sul","l10n_br_base.city_5564"
cep_70070934,"l10n_br_base.br_df","70070934","SAUS Quadra 3 Bloco C Lotes 2/3","","Asa Sul","l10n_br_base.city_5564"
cep_70479900,"l10n_br_base.br_df","70479900","SES 805 Lote 20","","Asa Sul","l10n_br_base.city_5564"
cep_70392902,"l10n_br_base.br_df","70392902","SDS Bloco C Lotes 30/64","","Asa Sul","l10n_br_base.city_5564"
cep_70800901,"l10n_br_base.br_df","70800901","SCEN Trecho 2 Lote 4","","Asa Norte","l10n_br_base.city_5564"
cep_70093900,"l10n_br_base.br_df","70093900","SBS Quadra 1 Bloco K Lote 29","","Asa Sul","l10n_br_base.city_5564"
cep_70070939,"l10n_br_base.br_df","70070939","SAUS Quadra 5 Bloco M Lote 1","","Asa Sul","l10n_br_base.city_5564"
cep_70041904,"l10n_br_base.br_df","70041904","SAUN Quadra 1 Bloco E","","Asa Norte","l10n_br_base.city_5564"
cep_70070936,"l10n_br_base.br_df","70070936","SAUS Quadra 4 Bloco I Lote 3-A","","Asa Sul","l10n_br_base.city_5564"
cep_70750901,"l10n_br_base.br_df","70750901","SEPN 511 Bloco A","","Asa Norte","l10n_br_base.city_5564"
cep_70316903,"l10n_br_base.br_df","70316903","SHS Quadra 6 Conjunto A Bloco F","","Asa Sul","l10n_br_base.city_5564"
cep_70070941,"l10n_br_base.br_df","70070941","SAUS Quadra 1 Bloco N Lote 1","","Asa Sul","l10n_br_base.city_5564"
cep_70316901,"l10n_br_base.br_df","70316901","SHS Quadra 6 Conjunto A Bloco D","","Asa Sul","l10n_br_base.city_5564"
cep_70711904,"l10n_br_base.br_df","70711904","SCN Quadra 1 Bloco D","","Asa Norte","l10n_br_base.city_5564"
cep_70390902,"l10n_br_base.br_df","70390902","SHLS Conjunto E Lote 5","","Asa Sul","l10n_br_base.city_5564"
cep_70302913,"l10n_br_base.br_df","70302913","SCS Quadra 2 Bloco C Lote 179","","Asa Sul","l10n_br_base.city_5564"
cep_70714902,"l10n_br_base.br_df","70714902","SCN Quadra 4 Bloco C","","Asa Norte","l10n_br_base.city_5564"
cep_70703905,"l10n_br_base.br_df","70703905","SHN Quadra 3 Bloco F","","Asa Norte","l10n_br_base.city_5564"
cep_70322917,"l10n_br_base.br_df","70322917","SHS Quadra 5 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70037900,"l10n_br_base.br_df","70037900","SAUS Quadra 6 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70322901,"l10n_br_base.br_df","70322901","SHS Quadra 2 Bloco J","","Asa Sul","l10n_br_base.city_5564"
