"id","state_id:id","code","street","street_type","district","city_id:id"
cep_57304320,"br_al","57304320","Padre Cirilo","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57314030,"br_al","57314030","Júlia Pereira Viana de Melo","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57316170,"br_al","57316170","Dioclécio Balbino da Silva","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316175,"br_al","57316175","Genésio Rodrigues","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316095,"br_al","57316095","Maria Terto da Silva","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316185,"br_al","57316185","José Terto","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316090,"br_al","57316090","Adrião Henrique Silva","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316195,"br_al","57316195","Dom Pedro II","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316305,"br_al","57316305","Djalma Matheus Santana","Rua","Nova Esperança","l10n_br_data_base.city_1651"
cep_57316310,"br_al","57316310","Dom Oscar Arnulfo Homero","Rua","Nova Esperança","l10n_br_data_base.city_1651"
cep_57316320,"br_al","57316320","Professor José Paulo Moura","Rua","Nova Esperança","l10n_br_data_base.city_1651"
cep_57316325,"br_al","57316325","Manoel José de Oliveira","Rua","Nova Esperança","l10n_br_data_base.city_1651"
cep_57316330,"br_al","57316330","Durval de Brito","Rua","Nova Esperança","l10n_br_data_base.city_1651"
cep_57301520,"br_al","57301520","São Roque","Rua","São Luiz","l10n_br_data_base.city_1651"
cep_57315720,"br_al","57315720","Claudeci Gregório da Silva","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57316055,"br_al","57316055","José Laelson de Melo","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316155,"br_al","57316155","Tertuliano Barbosa","Praça","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316010,"br_al","57316010","Governador Antônio Simeão Lamenha Filho","Avenida","Jardim Tropical","l10n_br_data_base.city_1651"
cep_57316015,"br_al","57316015","Maria Rogéria Brito","Rua","Jardim Tropical","l10n_br_data_base.city_1651"
