"id","code","name","admitted_taxes","date_start","date_end"
"nature_income_12022","12022","Rendimentos auferidos nas operações de mútuo de recursos financeiros entre pessoa física e pessoa jurídica e entre pessoas jurídicas, inclusive controladoras, controladas, coligadas e interligadas","IR","2023-09-01",""
"nature_income_12023","12023","Rendimentos auferidos em operações de adiantamento sobre contratos de câmbio de exportação, não sacado (trava de câmbio), bem como operações com export notes, com debêntures, com depósitos voluntários para garantia de instância e com depósitos judiciais ou administrativos, quando seu levantamento se der em favor do depositante","IR","2023-09-01",""
"nature_income_12024","12024","Rendimentos obtidos nas operações de mútuo e de compra vinculada à revenda tendo por objeto ouro, ativo financeiro","IR","2023-09-01",""
"nature_income_12025","12025","Rendimentos auferidos em contas de depósitos de poupança","IR","2023-09-01",""
"nature_income_12026","12026","Rendimentos auferidos sobre juros produzidos por letras hipotecárias","IR","2023-09-01",""
"nature_income_12027","12027","Rendimentos ou ganhos decorrentes da negociação de títulos ou valores mobiliários de renda fixa em bolsas de valores, de mercadorias, de futuros e assemelhadas","IR","2023-09-01",""
"nature_income_12028","12028","Rendimentos auferidos em outras aplicações financeiras de renda fixa ou de renda variável","IR","2023-09-01",""
"nature_income_12029","12029","Rendimentos auferidos em Fundo de Investimento","IR","2023-09-01",""
"nature_income_12030","12030","Rendimentos auferidos em Fundos de investimento em quotas de fundos de investimento","IR","2023-09-01",""
"nature_income_12031","12031","Rendimentos produzidos por aplicações em fundos de investimento em ações","IR","2023-09-01",""
"nature_income_12032","12032","Rendimentos produzidos por aplicações em fundos de investimento em quotas de fundos de investimento em ações","IR","2023-09-01",""
"nature_income_12033","12033","Rendimentos produzidos por aplicações em Fundos Mútuos de Privatização com recursos do Fundo de Garantia por Tempo de Serviço (FGTS)","IR","2023-09-01",""
"nature_income_12034","12034","Rendimentos auferidos pela carteira dos Fundos de Investimento Imobiliário","IR","2023-09-01",""
"nature_income_12035","12035","Rendimentos distribuídos pelo Fundo de Investimento Imobiliário aos seus cotistas","IR","2023-09-01",""
"nature_income_12036","12036","Rendimento auferido pelo cotista no resgate de cotas na liquidação do Fundo de Investimento Imobiliário","IR","2023-09-01",""
"nature_income_12037","12037","Rendimentos auferidos pela carteira dos Fundos de Investimento Imobiliário – Distribuição semestral","IR","2023-09-01","2024-05-20"
