"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_95095380","l10n_br_base.br_rs","95095380","Luiz de Almeida","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095383","l10n_br_base.br_rs","95095383","Santo Vignochi","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095385","l10n_br_base.br_rs","95095385","Matilde Trevisan","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095387","l10n_br_base.br_rs","95095387","Aurélio Tonietto","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95086380","l10n_br_base.br_rs","95086380","José Alves da Silva","Praça","Planalto","l10n_br_base.city_4698","base.br"
"cep_95095330","l10n_br_base.br_rs","95095330","Portácio Hoffmann","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095231","l10n_br_base.br_rs","95095231","Eugênio Rech","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95090150","l10n_br_base.br_rs","95090150","João Mincato","Rua","Galópolis","l10n_br_base.city_4698","base.br"
"cep_95095183","l10n_br_base.br_rs","95095183","Luiz Tessari","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095370","l10n_br_base.br_rs","95095370","São Jorge","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095080","l10n_br_base.br_rs","95095080","Dom Benedito Zorzi","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095102","l10n_br_base.br_rs","95095102","Martim Francisco Spiandorello","Avenida","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095031","l10n_br_base.br_rs","95095031","Aurélio Perazzolo","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095180","l10n_br_base.br_rs","95095180","Henrique Leonardi","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095050","l10n_br_base.br_rs","95095050","Anuncio Lain","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095055","l10n_br_base.br_rs","95095055","Bortolo Casara","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095060","l10n_br_base.br_rs","95095060","Apoteose","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095065","l10n_br_base.br_rs","95095065","José Bernardi","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095070","l10n_br_base.br_rs","95095070","Atlântida","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095073","l10n_br_base.br_rs","95095073","Solin Bassani","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095310","l10n_br_base.br_rs","95095310","Pedro Radaelli","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095077","l10n_br_base.br_rs","95095077","Adão Vargas da Conceição","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095190","l10n_br_base.br_rs","95095190","Irmão Francisco Alberto","Rua","Esplanada","l10n_br_base.city_4698","base.br"
"cep_95095090","l10n_br_base.br_rs","95095090","Carmem Gobbato","Rua","Salgado Filho","l10n_br_base.city_4698","base.br"
"cep_95095030","l10n_br_base.br_rs","95095030","Anicio Borges dos Santos","Rua","Esplanada","l10n_br_base.city_4698","base.br"
