"id","codigo","nome"
"tre_capac_0077","1803","Treinamento para empregados envolvidos na montagem e desmontagem de andaimes"
"tre_capac_0078","1804","Treinamento para empregados usuários e responsável pela verificação de andaimes suspensos"
"tre_capac_0079","1805","Treinamento para operadores de Plataforma de trabalho com sistema de movimentação vertical em pinhão e cremalheira e plataformas hidráulicas"
"tre_capac_0080","1806","Treinamento para trabalhadores envolvidos nas atividades de Alvenaria, Revestimentos e Acabamentos"
"tre_capac_0081","1807","Treinamento para trabalhadores que exercem atividades em espaços confinados"
"tre_capac_0082","1808","Treinamento para operadores de máquinas e equipamentos devido à introdução de novas tecnologias"
"tre_capac_0083","1809","Treinamento admissional para trabalho em Construção Civil"
"tre_capac_0084","1810","Treinamento periódico para trabalho em Construção Civil"
"tre_capac_0085","1811","Treinamento devido à introdução de soluções alternativas"
"tre_capac_0086","1812","Treinamento em operação de grua"
"tre_capac_0087","1813","Treinamento em manutenção, montagem e desmontagem de grua"
"tre_capac_0088","1814","Treinamento do Sinaleiro/Amarrador de cargas de gruas"
"tre_capac_0089","1901","Exercício simulado - Plano de Emergência e Combate a Incêndio e Explosão"
"tre_capac_0090","1902","Treinamento teórico e prático sobre Plano de Emergência e Combate a Incêndio e Explosão"
"tre_capac_0091","1903","Treinamento para membros da CIPA ou designado incluindo os aspectos relativos aos riscos de acidentes com explosivos e sua prevenção"
"tre_capac_0092","1904","Treinamento especial sobre levantamento e transporte manual de peso para trabalhadores responsáveis pelo transporte interno de produtos arrematados ou outros materiais"
"tre_capac_0093","1905","Treinamento para trabalhadores envolvidos nas atividades de coleta e destruição de resíduos"
"tre_capac_0094","1906","Treinamento admissional para empregados de indústria e comércio de fogos de artifício e outros artefatos pirotécnicos"
"tre_capac_0095","1907","Treinamento eventual para empregados de indústria e comércio de fogos de artifício e outros artefatos pirotécnicos"
"tre_capac_0096","1908","Treinamento periódico para empregados de indústria e comércio de fogos de artifício e outros artefatos pirotécnicos"
"tre_capac_0097","2001","Informações sobre os perigos, riscos e sobre procedimentos para situações de emergência"
"tre_capac_0098","2002","Curso de Integração para trabalho com inflamáveis e combustíveis"
"tre_capac_0099","2003","Curso Básico para trabalho com inflamáveis e combustíveis"
"tre_capac_0100","2004","Curso Intermediário para trabalho com inflamáveis e combustíveis"
"tre_capac_0101","2005","Curso Avançado I para trabalho com inflamáveis e combustíveis"
"tre_capac_0102","2006","Curso Avançado II para trabalho com inflamáveis e combustíveis"
"tre_capac_0103","2007","Curso Específico para trabalho com inflamáveis e combustíveis"
"tre_capac_0104","2008","Curso de Atualização para trabalho com inflamáveis e combustíveis"
"tre_capac_0105","2009","Exercícios simulados para trabalho com inflamáveis e combustíveis"
"tre_capac_0106","2201","Treinamento continuado em manuseio e operação de equipamentos de combate a incêndios e explosões, e para prestação de primeiros socorros a acidentados"
