"id","state_id:id","code","street","street_type","district","city_id:id"
cep_69912630,"br_ac","69912630","Tutóia do Maranhão","Rua","Estação Experimental","l10n_br_data_base.city_67"
cep_69914000,"br_ac","69914000","Getúlio Vargas","Avenida","Vila Ivonete","l10n_br_data_base.city_67"
cep_69914010,"br_ac","69914010","Chico Mendes","Rua","Geraldo Fleming","l10n_br_data_base.city_67"
cep_69914020,"br_ac","69914020","Santa Rita","Rua","Nova Estação","l10n_br_data_base.city_67"
cep_69914030,"br_ac","69914030","João Viana","Rua","Nova Estação","l10n_br_data_base.city_67"
cep_69911650,"br_ac","69911650","Jacamim","Alameda","Chácara Ipê","l10n_br_data_base.city_67"
cep_69912665,"br_ac","69912665","D","Rua","Manoel Julião","l10n_br_data_base.city_67"
cep_69985000,"br_ac","69985000","","","","l10n_br_data_base.city_68"
cep_69925000,"br_ac","69925000","","","","l10n_br_data_base.city_70"
cep_69940000,"br_ac","69940000","","","","l10n_br_data_base.city_71"
cep_69970000,"br_ac","69970000","","","","l10n_br_data_base.city_72"
cep_69930000,"br_ac","69930000","","","","l10n_br_data_base.city_73"
cep_69912695,"br_ac","69912695","Maracanã","Rua","Manoel Julião","l10n_br_data_base.city_67"
cep_69914370,"br_ac","69914370","Abelhas","Rua","Santa Quitéria","l10n_br_data_base.city_67"
cep_69914140,"br_ac","69914140","Rio Branco","Travessa","Nova Estação","l10n_br_data_base.city_67"
cep_69914150,"br_ac","69914150","Castro Alves","Travessa","Nova Estação","l10n_br_data_base.city_67"
cep_69914160,"br_ac","69914160","Horizonte","Travessa","Nova Estação","l10n_br_data_base.city_67"
cep_69914170,"br_ac","69914170","Alegria","Travessa","Nova Estação","l10n_br_data_base.city_67"
cep_69914180,"br_ac","69914180","Niterói","Travessa","Nova Estação","l10n_br_data_base.city_67"
cep_69912530,"br_ac","69912530","Mendes Júnior","Vila","Estação Experimental","l10n_br_data_base.city_67"
cep_69914210,"br_ac","69914210","Vitória","Rua","Nova Estação","l10n_br_data_base.city_67"
cep_69914040,"br_ac","69914040","Fonte Nova","Rua","Geraldo Fleming","l10n_br_data_base.city_67"
cep_69914320,"br_ac","69914320","José Magalhães","Rua","Santa Quitéria","l10n_br_data_base.city_67"
cep_69914340,"br_ac","69914340","Aquarela","Rua","Santa Quitéria","l10n_br_data_base.city_67"
cep_69914350,"br_ac","69914350","Padre Cícero","Rua","Santa Quitéria","l10n_br_data_base.city_67"
cep_69912640,"br_ac","69912640","Raimundo F. Pinto","Rua","Manoel Julião","l10n_br_data_base.city_67"
cep_69914360,"br_ac","69914360","Botafogo","Rua","Santa Quitéria","l10n_br_data_base.city_67"
cep_69912000,"br_ac","69912000","Tangará","Conjunto","Estação Experimental","l10n_br_data_base.city_67"
cep_69914380,"br_ac","69914380","Copacabana","Rua","Vila Ivonete","l10n_br_data_base.city_67"
