"id","state_id:id","code","street","street_type","district","city_id:id"
cep_69312272,"br_rr","69312272","José Aleixo","Rua","Asa Branca","l10n_br_data_base.city_139"
cep_69316326,"br_rr","69316326","OP-XIX","Rua","Operário","l10n_br_data_base.city_139"
cep_69312298,"br_rr","69312298","Mestre Albano","Rua","Asa Branca","l10n_br_data_base.city_139"
cep_69312555,"br_rr","69312555","Adriana Matos da Silva","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312590,"br_rr","69312590","Santa Lúcia","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312585,"br_rr","69312585","São Rafael","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312583,"br_rr","69312583","Bela Vista","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312580,"br_rr","69312580","Abel Camuça Neto","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312575,"br_rr","69312575","Santa Marta","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312573,"br_rr","69312573","Santa Maria","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312570,"br_rr","69312570","Imperatriz","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312565,"br_rr","69312565","Santa Cecília","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312530,"br_rr","69312530","de Acesso I","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312560,"br_rr","69312560","Universal","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312550,"br_rr","69312550","Thomas Wilson","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312495,"br_rr","69312495","Floriano Peixoto","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312525,"br_rr","69312525","de Acesso II","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312372,"br_rr","69312372","General Ataíde Teive","Avenida","Tancredo Neves","l10n_br_data_base.city_139"
cep_69312505,"br_rr","69312505","Boa Esperança","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312510,"br_rr","69312510","Universal","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312513,"br_rr","69312513","Juazeiro","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312515,"br_rr","69312515","Santa Inês","Rua","Centenário","l10n_br_data_base.city_139"
cep_69312553,"br_rr","69312553","Levina Alves da Silva","Travessa","Centenário","l10n_br_data_base.city_139"
cep_69312375,"br_rr","69312375","São Marcos","Rua","Cinturão Verde","l10n_br_data_base.city_139"
cep_69312563,"br_rr","69312563","São Paulo","Rua","Centenário","l10n_br_data_base.city_139"
cep_69315222,"br_rr","69315222","DI-M","Rua","Governador Aquilino Mota Duarte (DI)","l10n_br_data_base.city_139"
cep_69301030,"br_rr","69301030","Getúlio Vargas","Avenida","Centro","l10n_br_data_base.city_139"
cep_69301340,"br_rr","69301340","Inácio Magalhães","Rua","Centro","l10n_br_data_base.city_139"
