"id","code","name","parent_id:id","sign","domain","tax_discount"
"demo_tax_code_chart_root","","Códigos de Impostos Brasileiros","","1","",0
"demo_tax_code_1","ICMS","ICMS","demo_tax_code_chart_root","1","icms",1
"demo_tax_code_2","ICMS Subist","ICMS Subist","demo_tax_code_chart_root","1","icmsst",0
"demo_tax_code_3","IPI","IPI","demo_tax_code_chart_root","1","ipi",0
"demo_tax_code_4","PIS","PIS","demo_tax_code_chart_root","1","pis",1
"demo_tax_code_5","COFINS","COFINS","demo_tax_code_chart_root","1","cofins",1
"demo_tax_code_6","IRPJ","IRPJ","demo_tax_code_chart_root","1","irpj",1
"demo_tax_code_7","IR","IR","demo_tax_code_chart_root","1","ir",1
"demo_tax_code_8","ISS","ISS","demo_tax_code_chart_root","1","iss",1
"demo_tax_code_9","CSLL","CSLL","demo_tax_code_chart_root","1","csll",1
"demo_tax_code_10","CPP","CPP","demo_tax_code_chart_root","1","cpp",1

