"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_64066260","l10n_br_base.br_pi","64066260","Santana","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066270","l10n_br_base.br_pi","64066270","Tatuí","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064030","l10n_br_base.br_pi","64064030","Dracena","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066310","l10n_br_base.br_pi","64066310","Meridiano","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066450","l10n_br_base.br_pi","64066450","do Cipó","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066280","l10n_br_base.br_pi","64066280","Britânia","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066290","l10n_br_base.br_pi","64066290","Valinho","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066230","l10n_br_base.br_pi","64066230","Alterosa","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066500","l10n_br_base.br_pi","64066500","Anita Ferraz","Parque","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064170","l10n_br_base.br_pi","64064170","Flamboyant","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064180","l10n_br_base.br_pi","64064180","do Ancião","Vila","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064190","l10n_br_base.br_pi","64064190","Grevillea","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064090","l10n_br_base.br_pi","64064090","Tipuanã","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066660","l10n_br_base.br_pi","64066660","Doutor Luiz Carlos Mouzinho","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066180","l10n_br_base.br_pi","64066180","Lageada","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066460","l10n_br_base.br_pi","64066460","Inácio Neiva Luz","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066470","l10n_br_base.br_pi","64066470","Jornalista Climério Lima","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066750","l10n_br_base.br_pi","64066750","Parque Regina","Loteamento","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066490","l10n_br_base.br_pi","64066490","Domingos de Pádua Rêgo","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64064160","l10n_br_base.br_pi","64064160","Tamarix","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066610","l10n_br_base.br_pi","64066610","Carlos Rêgo Ferraz","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066620","l10n_br_base.br_pi","64066620","Deputado Francisco Costa","Avenida","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066630","l10n_br_base.br_pi","64066630","Desembargador Francisco Gomes Araújo","Avenida","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066440","l10n_br_base.br_pi","64066440","Cruzeta","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066250","l10n_br_base.br_pi","64066250","Serrinha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066430","l10n_br_base.br_pi","64066430","Josué Moura Santos","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066680","l10n_br_base.br_pi","64066680","Enfermeiro Anísio Martins da Rocha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066690","l10n_br_base.br_pi","64066690","Jandaíra","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066480","l10n_br_base.br_pi","64066480","Campestre","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64081023","l10n_br_base.br_pi","64081023","Campinorte","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64082780","l10n_br_base.br_pi","64082780","Sertãozinho","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64079650","l10n_br_base.br_pi","64079650","Wall Ferraz","Vila","Itararé","l10n_br_base.city_881","base.br"
"cep_64080010","l10n_br_base.br_pi","64080010","Francisco Marreiros","Conjunto","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64080500","l10n_br_base.br_pi","64080500","Projetada","Rua","Parque Poti","l10n_br_base.city_881","base.br"
"cep_64081000","l10n_br_base.br_pi","64081000","Parque Ideal","Conjunto","Itararé","l10n_br_base.city_881","base.br"
"cep_64081010","l10n_br_base.br_pi","64081010","Edgard Freitas","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64081015","l10n_br_base.br_pi","64081015","Parque Manoel Evangelista","Loteamento","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64085535","l10n_br_base.br_pi","64085535","Esplanada","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64081020","l10n_br_base.br_pi","64081020","Itararé","Avenida","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64079610","l10n_br_base.br_pi","64079610","Albânia","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079620","l10n_br_base.br_pi","64079620","Campinas","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64085540","l10n_br_base.br_pi","64085540","José Parente Sampaio","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085522","l10n_br_base.br_pi","64085522","Galiléia","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085524","l10n_br_base.br_pi","64085524","B","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085525","l10n_br_base.br_pi","64085525","Zenilde Abreu Gonçalves","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085526","l10n_br_base.br_pi","64085526","Canto Escuro","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085530","l10n_br_base.br_pi","64085530","Zeca Barbosa","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085532","l10n_br_base.br_pi","64085532","Cataratas","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64081017","l10n_br_base.br_pi","64081017","Cedral","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64077720","l10n_br_base.br_pi","64077720","Francisco Lima Couto","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64082650","l10n_br_base.br_pi","64082650","Inhuma","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64082660","l10n_br_base.br_pi","64082660","Jaguaribe","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64082600","l10n_br_base.br_pi","64082600","Poty","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64082670","l10n_br_base.br_pi","64082670","Laira","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64082700","l10n_br_base.br_pi","64082700","Padre Luís","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64062310","l10n_br_base.br_pi","64062310","Doutor Audir Fortes Rebelo","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64066330","l10n_br_base.br_pi","64066330","Lajinha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64082750","l10n_br_base.br_pi","64082750","Janete Moraes Sousa","Conjunto","Renascença","l10n_br_base.city_881","base.br"
"cep_64079630","l10n_br_base.br_pi","64079630","Raimundo Martins Vieira","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079640","l10n_br_base.br_pi","64079640","Universal","Vila","Itararé","l10n_br_base.city_881","base.br"
"cep_64082010","l10n_br_base.br_pi","64082010","Renascença I","Conjunto","Renascença","l10n_br_base.city_881","base.br"
"cep_64079540","l10n_br_base.br_pi","64079540","Francisco Marreiros","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079550","l10n_br_base.br_pi","64079550","Milton Brandão","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079560","l10n_br_base.br_pi","64079560","Petrópolis","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079570","l10n_br_base.br_pi","64079570","Principal","Avenida","Itararé","l10n_br_base.city_881","base.br"
"cep_64079580","l10n_br_base.br_pi","64079580","Recife","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079590","l10n_br_base.br_pi","64079590","Redonda","Loteamento","Itararé","l10n_br_base.city_881","base.br"
"cep_64079600","l10n_br_base.br_pi","64079600","Todos os Santos","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64082760","l10n_br_base.br_pi","64082760","Jardim dos Pássaros","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64082100","l10n_br_base.br_pi","64082100","Alto da Ressurreição","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64085510","l10n_br_base.br_pi","64085510","Geraldo Marques dos Santos","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64084010","l10n_br_base.br_pi","64084010","Renascença III","Conjunto","Renascença","l10n_br_base.city_881","base.br"
"cep_64085520","l10n_br_base.br_pi","64085520","Coronel Olavo Nogueira","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64084130","l10n_br_base.br_pi","64084130","Noé Mendes","Avenida","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64085518","l10n_br_base.br_pi","64085518","Alto Belo","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64084150","l10n_br_base.br_pi","64084150","Araguaia","Vila","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64084160","l10n_br_base.br_pi","64084160","Firmino Filho","Vila","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64085010","l10n_br_base.br_pi","64085010","São Paulo","Conjunto","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64085534","l10n_br_base.br_pi","64085534","Dez","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085500","l10n_br_base.br_pi","64085500","Poti/Bagdá","Vila","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64083200","l10n_br_base.br_pi","64083200","Paris","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64085512","l10n_br_base.br_pi","64085512","Firminópolis","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085514","l10n_br_base.br_pi","64085514","Alto do Barão","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085515","l10n_br_base.br_pi","64085515","Manoel Gomes de Oliveira","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64082770","l10n_br_base.br_pi","64082770","Sol Nascente","Conjunto","Renascença","l10n_br_base.city_881","base.br"
"cep_64084100","l10n_br_base.br_pi","64084100","Porto Rico II","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64066090","l10n_br_base.br_pi","64066090","Piloto","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066190","l10n_br_base.br_pi","64066190","Luiz Martírios de Moura","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64065500","l10n_br_base.br_pi","64065500","Projetada","Rua","Aroeiras","l10n_br_base.city_881","base.br"
"cep_64085050","l10n_br_base.br_pi","64085050","Residencial Araguaia","Vila","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64079520","l10n_br_base.br_pi","64079520","Almeida Neto","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64085538","l10n_br_base.br_pi","64085538","Biguaçu","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085516","l10n_br_base.br_pi","64085516","Itaparica","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085542","l10n_br_base.br_pi","64085542","Egídio Mota","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085550","l10n_br_base.br_pi","64085550","Vereador Saulo Nascimento","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085560","l10n_br_base.br_pi","64085560","Deputado Alberto Monteiro","Rua","Parque Poti","l10n_br_base.city_881","base.br"
"cep_64085570","l10n_br_base.br_pi","64085570","Laurentino Machado Lopes","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085575","l10n_br_base.br_pi","64085575","Barão de Grajaú","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085580","l10n_br_base.br_pi","64085580","Napoleão Azevedo","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64083600","l10n_br_base.br_pi","64083600","Parque do Sol","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64085600","l10n_br_base.br_pi","64085600","Cidade Nova","Loteamento","Parque Poti","l10n_br_base.city_881","base.br"
"cep_64083400","l10n_br_base.br_pi","64083400","Progresso II","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64085536","l10n_br_base.br_pi","64085536","Birigui","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64084140","l10n_br_base.br_pi","64084140","Professor Darcy Ribeiro","Rua","São Sebastião","l10n_br_base.city_881","base.br"
"cep_64085610","l10n_br_base.br_pi","64085610","Advogado Joaquim Machado Coelho","Rua","Parque Poti","l10n_br_base.city_881","base.br"
"cep_64082790","l10n_br_base.br_pi","64082790","Sales","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64082800","l10n_br_base.br_pi","64082800","Benedito Veras","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64083010","l10n_br_base.br_pi","64083010","Renascença II","Conjunto","Renascença","l10n_br_base.city_881","base.br"
"cep_64083100","l10n_br_base.br_pi","64083100","Pantanal","Vila","Renascença","l10n_br_base.city_881","base.br"
"cep_64066000","l10n_br_base.br_pi","64066000","Pedra Mole","Conjunto","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64085590","l10n_br_base.br_pi","64085590","Projetada","Rua","Colorado","l10n_br_base.city_881","base.br"
"cep_64077010","l10n_br_base.br_pi","64077010","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64062290","l10n_br_base.br_pi","64062290","Comandante Antônio Cardoso","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64077040","l10n_br_base.br_pi","64077040","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077050","l10n_br_base.br_pi","64077050","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077060","l10n_br_base.br_pi","64077060","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077070","l10n_br_base.br_pi","64077070","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077080","l10n_br_base.br_pi","64077080","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077090","l10n_br_base.br_pi","64077090","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077020","l10n_br_base.br_pi","64077020","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077110","l10n_br_base.br_pi","64077110","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077220","l10n_br_base.br_pi","64077220","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
"cep_64077130","l10n_br_base.br_pi","64077130","Dirceu Arcoverde I","Quadra","Itararé","l10n_br_base.city_881","base.br"
