id,name,code,description,legal_ref
tax_312110002,Tarifas cobradas pelos emissores de cartões,312110002,"Classificar nesse código as rubricas contábeis representativas das receitas relativas a tarifas cobradas pelos bancos ou instituições de pagamento, emissores dos portadores dos cartões, que ficam sujeitas às regras gerais de tributação do IBS/CBS.","LC 214/2025 Art. 214, § 2º"
tax_312110003,"Tarifa cobrada pela administração do benefício de vale alimentação, vale refeição e vale transporte",312110003,Classificar nesse código as rubricas contábeis referentes à tarifa de administração do beneficio nas operações de arranjos de pagamento.,"LC 214/2025 Art. 214, § 1º"
tax_312160001,Receitas tributáveis pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,312160001,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_312160002,Receitas tributáveis pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,312160002,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_312180001,Exportação de serviços,312180001,Classificar nesse código as rubricas contábeis representativas receitas que sejam provenientes de residentes no exterior e atendam os requisitos legais para serem consideradas exportação de serviços. Incluir nesse código os valores relativos a tarifas e outros encargos vinculados aos referidos contratos.,LC 214/2025 Art. 232
tax_312180002,Receitas com operações sujeitas a alíquota zero do regime de cooperativas,312180002,"Classificar nesse código as rubricas contábeis representativas das receitas auferidas com cooperados, optantes pelo regime regular do IBS e da CBS, pelas cooperativas optantes pelo regime específico previsto no Arts. 271 e 272 da LC 214/2025.","LC 214/2025 Art. 192, § 8º"
tax_312200099,Outras receitas amparadas por documentos fiscais,312200099,"Classificar nesse código as rubricas contábeis representativas das receitas, que ficam sujeitas às regras gerais de tributação do IBS/CBS, cuja comprovação se dê pela emissão de documento fiscal.",
tax_319100001,Receitas com alienação de bens imóveis que tenham sido objeto de garantia,319100001,"Classificar nesse código as rubricas contábeis representativas das receitas auferidas com alienação de bens imóveis, que tenham sido objeto de garantia, cuja propriedade tenha sido transmitida para pagamento de dívidas.",LC 214/2025 Art. 200
tax_319100002,Receitas com alienação de outros bens imóveis,319100002,Classificar nesse código as rubricas contábeis representativas das receitas auferidas com alienação de outros bens móveis ou imóveis.,
tax_319100099,Outras receitas amparadas por documentos fiscais,319100099,Classificar nesse código outros valores tributáveis.,LC 214/2025
tax_411011101,Despesas de câmbio,411011101,Classificar nesse código as despesas com operações de câmbio.,"LC 214/2025 Art. 192, II"
tax_411011102,Despesas financeiras resultantes de perdas em operações com TVM,411011102,"Classificar nesse código as despesas com perdas em operações com Títulos e Valores Mobiliários, inclusive os ajustes negativos a valor justo.","LC 214/2025 Art. 192, III"
tax_411011103,Encargos financeiros ainda que registrados no patrimônio líquido,411011103,Classificar nesse código as despesas com encargos financeiros ainda que tenham sido registrados em contas do patrimônio líquido.,"LC 214/2025 Art. 192, IV"
tax_411011104,Perdas incorridas nas operações de crédito,411011104,"Classificar nesse código as despesas com perdas no recebimento de operações de crédito e perdas na cessão de créditos ou na concessão de descontos, desde que realizadas a valor de mercado e obedecidas as regras de dedutibilidade da legislação do Imposto de Renda.","LC 214/2025 Art. 192, V"
tax_411011105,"Despesa com correspondente bancário vinculada aos serviços de crédito, câmbio e TVM",411011105,"Classificar nesse código as despesas com correspondentes bancários, desde que vinculados aos serviços de crédito, câmbio e TVM, devidamente comprovados por meio de documento fiscal idôneo, emitidos pelos prestadores do serviço.","LC 214/2025 Art. 192, VI"
tax_411011106,Despesas com derivativos contratados,411011106,Classificar nesse código as rubricas contábeis representativas das despesas com derivativos contratados.,"LC 214/2025 Art. 192, § 7º"
tax_411011201,Despesa de captação de recursos,411011201,"Classificar nesse código as despesas com captação de recursos. No caso de banco múltiplos, o sistema fará um rateio dessas despesas entre as atividades que tiverem previsão de dedução da referida despesa, nos termos do Art. 202 da LC 214/2025.","LC 214/2025 Art. 192, I"
tax_411011601,PIS/Cofins incidente sobre a operação,411011601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411011602,ISSQN incidente sobre a operação,411011602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411011701,Variação negativa a valor justo em TVM,411011701,"Classificar nesse código as despesas com variações negativas de Títulos e Valores Mobiliários, que são registradas contabilmente por competência, mas dedutíveis quando da realização do ativo ou passivo.","LC 214/2025 Art. 192, § 6º"
tax_411011899,Outras despesas não dedutíveis,411011899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411012101,Despesas com assessor de investimento e consultor TVM,411012101,"Classificar nesse código as despesas com assessor de investimento, consultor de Títulos e Valores Mobiliários, devidamente comprovados por meio de documento fiscal idôneo, individualizável a cada operação.","LC 214/2025 Art. 192, VI"
tax_411012601,PIS/Cofins incidente sobre a operação,411012601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411012602,ISSQN incidente sobre a operação,411012602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411012899,Outras despesas não dedutíveis,411012899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411021111,Despesas de securitização,411021111,"Classificar nesse código as rubricas contábeis representativas das despesas com securitização, consistindo na emissão, distribuição, custódia, escrituração, registro, preparação e formalização de documentos, administração do patrimônio separado e atuação de agentes fiduciários, de cobrança e de classificação de risco, desde que esses serviços não tenham sido prestados por empregados ou administradores da empresa. Essas despesas devem ser acobertadas por documento fiscal idôneo, emitido pelo prestador do serviço.","LC 214/2025 Art. 193, § 1º, II"
tax_411021112,Perdas incorridas nos recebimentos de créditos e na concessão de descontos,411021112,"Classificar nesse código as rubricas contábeis representativas das despesas com perdas incorridas no recebimento de créditos e as perdas na cessão destes créditos e na concessão de descontos, desde que sejam realizados a valor de mercado.","LC 214/2025 Art. 193, § 2º"
tax_411021121,Despesa de captação de recursos,411021121,"Classificar nesse código as rubricas contábeis representativas das despesas com captação de recursos. Esse código deve ser utilizado somente por empresas exclusivamente securitizados ou faturizadoras. No caso de bancos múltiplos, com carteira de securitização ou faturização, utilizar o código relativo à despesa de captação do grupo de Crédito, Câmbio e TVM, para que seja usado como dedução o rateio dessa despesa.","LC 214/2025 Art. 193, § 1º, I"
tax_411021161,PIS/Cofins incidente sobre a operação,411021161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411021189,Outras despesas não dedutíveis,411021189,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411021211,Despesas de securitização,411021211,"Classificar nesse código as rubricas contábeis representativas das despesas com securitização, consistindo na emissão, distribuição, custódia, escrituração, registro, preparação e formalização de documentos, administração do patrimônio separado e atuação de agentes fiduciários, de cobrança e de classificação de risco, desde que esses serviços não tenham sido prestados por empregados ou administradores da empresa. Essas despesas devem ser acobertadas por documento fiscal idôneo, emitido pelo prestador do serviço.","LC 214/2025 Art. 193, § 1º, II"
tax_411021261,PIS/Cofins incidente sobre a operação,411021261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411021289,Outras despesas não dedutíveis,411021289,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411022161,PIS/Cofins incidente sobre a operação,411022161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411022171,Despesas reconhecidas por competência e dedutíveis por caixa,411022171,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411022189,Outras despesas não dedutíveis,411022189,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411022261,PIS/Cofins incidente sobre a operação,411022261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411022271,Despesas reconhecidas por competência e dedutíveis por caixa,411022271,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411022289,Outras despesas não dedutíveis,411022289,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411031161,PIS/Cofins incidente sobre a operação,411031161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031162,ISSQN incidente sobre a operação,411031162,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031211,Despesas de arrendamento comprovadas com documentos fiscais,411031211,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante a emissão de documentos fiscais.","LC 214/2025 Art. 201, II, b"
tax_411031212,Despesas de arrendamento comprovadas com registro contábil,411031212,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante registro contábil, como depreciação do bem.","LC 214/2025 Art. 201, II, b"
tax_411031261,PIS/Cofins incidente sobre a operação,411031261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031262,ISSQN incidente sobre a operação,411031262,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031281,Valor dos bens imóveis adquiridos para fins de arrendamento,411031281,"Classificar nesse código as rubricas contábeis onde estão registrados os bens imóveis adquiridos para fins de arrendamento mercantil operacional, comprovados mediante emissão de documento fiscal ou não (no caso de aquisição de pessoa física).",LC 214/2025 Art. 303
tax_411031361,PIS/Cofins incidente sobre a operação,411031361,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031362,ISSQN incidente sobre a operação,411031362,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031411,Despesas de arrendamento comprovadas com documentos fiscais,411031411,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante a emissão de documentos fiscais.","LC 214/2025 Art. 201, II, b"
tax_411031412,Despesas de arrendamento comprovadas com registro contábil,411031412,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante registro contábil, como depreciação do bem.","LC 214/2025 Art. 201, II, b"
tax_411031461,PIS/Cofins incidente sobre a operação,411031461,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031462,ISSQN incidente sobre a operação,411031462,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411031481,Valor dos bens móveis adquiridos para fins de arrendamento,411031481,"Classificar nesse código as rubricas contábeis onde estão registrados os bens móveis adquiridos para fins de arrendamento mercantil operacional, comprovados mediante emissão de documento fiscal.",LC 214/2025 Art. 303
tax_411032161,PIS/Cofins incidente sobre a operação,411032161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032162,ISSQN incidente sobre a operação,411032162,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032181,Despesas de arrendamento em operações realizadas com contribuintes do IBS/CBS,411032181,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional relativo a bens imóveis, oriunda de operações realizadas pessoas físicas ou jurídicas contribuintes do IBS e da CBS do Regime Regular.","LC 214/2025 Art. 201, II, b"
tax_411032261,PIS/Cofins incidente sobre a operação,411032261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032262,ISSQN incidente sobre a operação,411032262,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032289,Outras despesas não dedutíveis,411032289,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional relativo a bens imóveis, oriunda de operações realizadas com não contribuintes do IBS e da CBS do Regime Regular.","LC 214/2025 Art. 201, II, b"
tax_411032361,PIS/Cofins incidente sobre a operação,411032361,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032362,ISSQN incidente sobre a operação,411032362,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032411,Despesas de arrendamento comprovadas com documentos fiscais,411032411,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante a emissão de documentos fiscais.","LC 214/2025 Art. 201, II, b"
tax_411032412,Despesas de arrendamento comprovadas com registro contábil,411032412,"Classificar nesse código as rubricas contábeis representativas dos valores das despesas com arrendamento mercantil operacional, oriunda de operações realizadas com pessoas físicas ou jurídicas não contribuintes do IBS e da CBS do Regime Regular, comprovadas mediante registro contábil, como depreciação do bem.","LC 214/2025 Art. 201, II, b"
tax_411032461,PIS/Cofins incidente sobre a operação,411032461,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032462,ISSQN incidente sobre a operação,411032462,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411032481,Valor dos bens móveis adquiridos para fins de arrendamento,411032481,"Classificar nesse código as rubricas contábeis onde estão registrados os bens móveis adquiridos para fins de arrendamento mercantil operacional, comprovados mediante emissão de documento fiscal.",LC 214/2025 Art. 303
tax_411037001,Despesas reconhecidas por competência e dedutíveis por caixa,411037001,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411038099,Outras despesas não dedutíveis,411038099,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411041161,PIS/Cofins incidente sobre a operação,411041161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
