id,name,code,description,legal_ref
tax_411071602,ISSQN incidente sobre a operação,411071602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411071899,Outras despesas não dedutíveis,411071899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411072101,Encargos financeiros ainda que registrados no patrimônio líquido,411072101,Classificar nesse código as despesas com encargos financeiros ainda que tenham sido registrados em contas do patrimônio líquido.,"LC 214/2025 Art. 192, IV"
tax_411072102,Perdas incorridas nas operações de crédito,411072102,"Classificar nesse código as despesas com perdas no recebimento de operações de crédito e perdas na cessão de créditos ou na concessão de descontos, desde que realizadas a valor de mercado e obedecidas as regras de dedutibilidade da legislação do Imposto de Renda.","LC 214/2025 Art. 192, V"
tax_411072103,Despesas com derivativos contratados,411072103,Classificar nesse código as rubricas contábeis representativas das despesas com derivativos contratados.,"LC 214/2025 Art. 192, § 7º"
tax_411072201,Despesa de captação de recursos,411072201,Classificar nesse código as rubricas contábeis representativas das despesas com captação de recursos do FGTS.,"LC 214/2025 Art. 192, I"
tax_411072601,PIS/Cofins incidente sobre a operação,411072601,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411072602,ISSQN incidente sobre a operação,411072602,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411072899,Outras despesas não dedutíveis,411072899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411073899,Outras despesas não dedutíveis,411073899,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411081161,PIS/Cofins incidente sobre a operação,411081161,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411081162,ISSQN incidente sobre a operação,411081162,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411081171,Despesas reconhecidas por competência e dedutíveis por caixa,411081171,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411081189,Outras despesas não dedutíveis,411081189,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
tax_411081261,PIS/Cofins incidente sobre a operação,411081261,Classificar nesse código as rubricas contábeis representativas dos valores do PIS e da Cofins incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411081262,ISSQN incidente sobre a operação,411081262,Classificar nesse código as despesas com ISSQN incidentes sobre as operações.,"LC 214/2025 Art. 12, § 2º, V"
tax_411081271,Despesas reconhecidas por competência e dedutíveis por caixa,411081271,"Classificar nesse código as rubricas contábeis relativas ao registro das despesas por regime de competência, mas que serão dedutíveis da base de cálculo do IBS/CBS pelo regime de caixa.",
tax_411081289,Outras despesas não dedutíveis,411081289,Classificar nesse código as rubricas contábeis relativas a outras despesas não dedutíveis da base de cálculo do IBS/CBS.,
