"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_65035330,"l10n_br_base.br_ma","65035330","Joaquim Serra","Rua","Fé em Deus","l10n_br_base.city_635"
cep_65010270,"l10n_br_base.br_ma","65010270","Humberto de Campos","Rua","Centro","l10n_br_base.city_635"
cep_65010260,"l10n_br_base.br_ma","65010260","Graça Aranha","Rua","Centro","l10n_br_base.city_635"
cep_65010250,"l10n_br_base.br_ma","65010250","Gomes de Sousa","Praça","Centro","l10n_br_base.city_635"
cep_65010240,"l10n_br_base.br_ma","65010240","Fran Pacheco","Praça","Centro","l10n_br_base.city_635"
cep_65010230,"l10n_br_base.br_ma","65010230","das Flores","Rua","Centro","l10n_br_base.city_635"
cep_65010220,"l10n_br_base.br_ma","65010220","dos Ferroviários","Conjunto","Centro","l10n_br_base.city_635"
cep_65010210,"l10n_br_base.br_ma","65010210","Feliz","Travessa","Centro","l10n_br_base.city_635"
cep_65010200,"l10n_br_base.br_ma","65010200","da Estrela","Rua","Centro","l10n_br_base.city_635"
cep_65032690,"l10n_br_base.br_ma","65032690","da Bica","Rua","Areinha","l10n_br_base.city_635"
cep_65010320,"l10n_br_base.br_ma","65010320","João Vital","Rua","Centro","l10n_br_base.city_635"
cep_65035210,"l10n_br_base.br_ma","65035210","Fagundes Varela","Rua","Liberdade","l10n_br_base.city_635"
cep_65010650,"l10n_br_base.br_ma","65010650","Senador Vitorino Freire","Avenida","Centro","l10n_br_base.city_635"
cep_65010170,"l10n_br_base.br_ma","65010170","Djalma Dutra","Rua","Centro","l10n_br_base.city_635"
cep_65010000,"l10n_br_base.br_ma","65010000","Vinte e Oito de Setembro","Rua","Centro","l10n_br_base.city_635"
cep_65035090,"l10n_br_base.br_ma","65035090","Carlos Laert","Rua","Liberdade","l10n_br_base.city_635"
cep_65010120,"l10n_br_base.br_ma","65010120","da Cruz","Rua","Centro","l10n_br_base.city_635"
cep_65010110,"l10n_br_base.br_ma","65010110","do Couto","Beco","Centro","l10n_br_base.city_635"
cep_65010100,"l10n_br_base.br_ma","65010100","Couto Fernandes","Rua","Centro","l10n_br_base.city_635"
cep_65010090,"l10n_br_base.br_ma","65010090","Boa Ventura","Travessa","Centro","l10n_br_base.city_635"
cep_65010080,"l10n_br_base.br_ma","65010080","Benedito Leite","Praça","Centro","l10n_br_base.city_635"
cep_65010070,"l10n_br_base.br_ma","65010070","Beira-Mar","Avenida","Centro","l10n_br_base.city_635"
cep_65010060,"l10n_br_base.br_ma","65010060","das Barrocas","Beco","Centro","l10n_br_base.city_635"
cep_65010050,"l10n_br_base.br_ma","65010050","Antônio Lobo","Praça","Centro","l10n_br_base.city_635"
cep_65010040,"l10n_br_base.br_ma","65010040","do Alecrim","Rua","Centro","l10n_br_base.city_635"
cep_65010440,"l10n_br_base.br_ma","65010440","da Palma","Rua","Centro","l10n_br_base.city_635"
cep_65010410,"l10n_br_base.br_ma","65010410","de Nazaré","Rua","Centro","l10n_br_base.city_635"
cep_65010190,"l10n_br_base.br_ma","65010190","do Egito","Rua","Centro","l10n_br_base.city_635"
cep_65010010,"l10n_br_base.br_ma","65010010","do Rancho","Rua","Centro","l10n_br_base.city_635"
cep_65005402,"l10n_br_base.br_ma","65005402","Epitácio Cafeteira","3ª Travessa","Santa Cruz","l10n_br_base.city_635"
cep_65032340,"l10n_br_base.br_ma","65032340","Cinqüenta e Nove","Quadra","Areinha","l10n_br_base.city_635"
cep_65032350,"l10n_br_base.br_ma","65032350","Cinqüenta e Nove","Quadra","Areinha","l10n_br_base.city_635"
cep_65032520,"l10n_br_base.br_ma","65032520","Engenheiro Brito Passos","Rua","Monte Castelo","l10n_br_base.city_635"
cep_65032521,"l10n_br_base.br_ma","65032521","Cândido Mendes","Rua","Monte Castelo","l10n_br_base.city_635"
cep_65032540,"l10n_br_base.br_ma","65032540","Nossa Senhora da Aparecida","Rua","Fátima","l10n_br_base.city_635"
cep_65032550,"l10n_br_base.br_ma","65032550","Reis Veloso","Rua","Fátima","l10n_br_base.city_635"
cep_65032560,"l10n_br_base.br_ma","65032560","Roberto Mendes","Rua","Fátima","l10n_br_base.city_635"
cep_65032580,"l10n_br_base.br_ma","65032580","Tiradentes","Travessa","Fátima","l10n_br_base.city_635"
cep_65032600,"l10n_br_base.br_ma","65032600","Mata Roma","Rua","Fátima","l10n_br_base.city_635"
cep_65010030,"l10n_br_base.br_ma","65010030","Afonso Pena","Rua","Centro","l10n_br_base.city_635"
cep_65010300,"l10n_br_base.br_ma","65010300","João Gualberto","Rua","Centro","l10n_br_base.city_635"
cep_65010020,"l10n_br_base.br_ma","65010020","dos Afogados","Rua","Centro","l10n_br_base.city_635"
cep_65086030,"l10n_br_base.br_ma","65086030","Seis","Rua","Anjo da Guarda","l10n_br_base.city_635"
cep_65086040,"l10n_br_base.br_ma","65086040","Sete","Rua","Anjo da Guarda","l10n_br_base.city_635"
cep_65085640,"l10n_br_base.br_ma","65085640","São Benedito","Sítio","Vila Nova","l10n_br_base.city_635"
cep_65086060,"l10n_br_base.br_ma","65086060","Canadá","Rua","Anjo da Guarda","l10n_br_base.city_635"
cep_65086070,"l10n_br_base.br_ma","65086070","da Juçara","Rua","Anjo da Guarda","l10n_br_base.city_635"
cep_65086080,"l10n_br_base.br_ma","65086080","São Sebastião","Rua","Anjo da Guarda","l10n_br_base.city_635"
